,sentence,category,sentiment
1028,"Good price, selected the best grip/fuel efficient/noise combination.Local garage very good - used them many times before. Happy to do the [REDACTED] job - no issues",value for money,positive
1029,"Good price, selected the best grip/fuel efficient/noise combination.Local garage very good - used them many times before. Happy to do the [REDACTED] job - no issues",length of fitting,positive
1030,"Good price, selected the best grip/fuel efficient/noise combination.Local garage very good - used them many times before. Happy to do the [REDACTED] job - no issues",location,positive
1031,Tyres were delivered on time but issues with a tyre missing that’s taken over a week to resolve. Good comms though,delivery punctuality,negative
1032,So easy to use. Self explanatory. Better prices then I found online. Easy to book. Good garages.,value for money,positive
1033,So easy to use. Self explanatory. Better prices then I found online. Easy to book. Good garages.,ease of booking,positive
1034,Great selection of tyres and good prices,value for money,positive
1035,"Even when I made a mistake, they sorted out my order easily with no delay.",advisoragent service,negative
1036,"I used [REDACTED].com for the first time recently to replace 4 tyres. The website was easy to use and they offered the best price for the particular tyres I wanted. They arrange delivery to a local garage (in this case an ATS Euromaster) and it's straightforward to book a date for the fitting. You do pay in advance, but by doing so I knew what I was paying. The partner garage provided a great service too. Overall, a good experience getting my tyres via [REDACTED].com.",garage service,positive
1037,"I used [REDACTED].com for the first time recently to replace 4 tyres. The website was easy to use and they offered the best price for the particular tyres I wanted. They arrange delivery to a local garage (in this case an ATS Euromaster) and it's straightforward to book a date for the fitting. You do pay in advance, but by doing so I knew what I was paying. The partner garage provided a great service too. Overall, a good experience getting my tyres via [REDACTED].com.",ease of booking,positive
